item Name,Category,Model name,Manufacturer,Model Number,Serial number,Asset Tag,Location,Notes,Purchase Date,Purchase Cost,Company,Status,Warranty,Supplier
massa id lobortis,mattis pulvinar nulla,suscipit a feugiat et,Ainyx,3535277053604122,3c11f36f-e17b-4392-890b-35e5bc0bdffa,552778185-6,Chongqing,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",2015-07-22,115.77,,Lost,34,Vinte
magnis dis,neque aenean auctor,primis in faucibus orci luctus,Vipe,5048372964899039,bc134863-84be-4421-9938-d8ce0525ef1e,360343994-5,Xinbao,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2015-11-18,,,Pending Diagnostics,33,Flashdog
justo sollicitudin,vestibulum velit id,tellus semper,Fivechat,3535789227456528,996499bc-968c-4ecc-a7d6-07e9348d552b,077200127-8,Nancheng,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",2015-08-01,166.87,,Ready to Deploy,35,Trudeo
quam pharetra,imperdiet,ut massa,Oyondu,4.90575358966523E+018,a7db733b-732c-4b54-901e-1ad28e145cb0,177033838-1,Wuhu,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2015-12-04,406.96,,Lost,14,Devpoint
sapien placerat,nulla elit ac,tincidunt eu felis,Aimbo,5610815292062918,fed4c9f9-8b0d-4d6a-ac43-c7929a31bb72,952276162-1,Arnhem,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2016-01-24,,,Pending Diagnostics,17,Kayveo
etiam faucibus cursus,cubilia curae mauris,massa id nisl venenatis,Skajo,3550363534806781,e7c5e464-9bbd-4d86-b549-3d3883b3139e,224555307-1,Dachang,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2016-02-13,,,Lost,27,Skidoo
diam id,dolor sit,ligula vehicula consequat,Gabtune,3566562640943303,efdf785c-a484-4454-8be0-d3b598c77a8d,269508722-5,Voi,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2016-05-23,312.07,,Archived,,
vivamus vestibulum,quisque,id mauris vulputate elementum nullam,Yabox,6709339676453700,1a4d5946-1539-4ff1-921b-c442eef8c28b,596138325-3,Campamento,,2016-04-03,221.14,,Archived,,
nisl aenean lectus pellentesque,fermentum,nisl ut,Skimia,3575845905358914,70d0b5d4-8569-421c-912c-9ee11c565b62,769779519-1,Plei Kần,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2016-03-22,,Konklab,Ready to Deploy,13,Wordify
ac neque duis bibendum,duis consequat,rhoncus aliquam lacus morbi,Centizu,3576056156747438,,709282846-5,Donghui,,2015-06-23,29.7,,Pending Diagnostics,,
elementum eu interdum,arcu libero rutrum,viverra pede,Muxo,5.6022311196475E+016,29de084a-9376-48dc-a310-cd01b1baf715,603152718-9,Camp Diable,,2016-02-09,,,Ready to Deploy,,
mauris morbi non,tristique in tempus,ipsum aliquam non,Devpoint,6.30484505318487E+018,d8a596a6-f59a-4423-b424-b3d132c06791,297281098-8,Vlachovice,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2016-02-10,553.28,,Archived,,
nonummy maecenas,nec euismod scelerisque,a suscipit nulla elit,Katz,3588657497186032,e95115b8-b45e-4a89-b271-c46732934394,740776342-9,Babica,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2016-03-18,552.55,,Lost,,
sodales scelerisque mauris sit,ut erat,sem fusce consequat nulla,Linklinks,374283823495957,9a108aa1-568c-4141-a8d8-92a451f68e22,915137664-4,Reshetikha,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2015-08-26,,,Archived,16,Kanoodle
vestibulum ante,quam sapien varius,morbi odio odio,Edgeclub,5.60224885282861E+018,319bf374-753a-49ef-885a-03a27dca4275,225439463-0,Lere,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2015-07-25,,,Ready to Deploy,34,Kwilith
phasellus in,est congue,tortor eu,Ozu,5602228882463423,a8be5948-b765-4f5d-9f1f-0f26952842d0,001757218-5,Tanabi,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2016-03-11,81.15,,Lost,20,Skynoodle
amet sapien dignissim,luctus nec molestie,mauris non ligula pellentesque,Mudo,3578002049296413,b8098077-560e-4a12-8bc1-220d83291032,815922090-1,Aegela,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2015-11-21,664.35,,Lost,28,Edgeblab
mollis molestie lorem quisque,ut,donec semper sapien a libero,Zoombeat,5048376726433136,cb7572bc-d7ca-4b5b-903e-fc567c337e32,057863524-0,Empangeni,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",2016-04-06,711.1,Transcof,Ready to Deploy,,
eros suspendisse,arcu,justo eu massa donec dapibus,Skipfire,5.60225202235212E+017,,155395513-7,Half Way Tree,In congue. Etiam justo. Etiam pretium iaculis justo.,2015-05-25,538.84,,Pending Diagnostics,,
justo maecenas rhoncus,sed,in consequat ut nulla,Jetwire,3558754018062473,,296612694-9,Xinjian,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,2015-11-01,,,Undeployable,19,Minyx
pharetra magna,et ultrices posuere,habitasse platea dictumst morbi,Bubbletube,3581295525802838,271065e6-f1fe-4d2b-aa47-76234656e29b,515439385-6,Santiago del Estero,,2016-05-12,948.04,,Lost,,
justo morbi ut odio,sagittis,auctor gravida sem praesent id,Mynte,6.7633339031557E+018,30f840cb-acfd-4797-82ad-14c6ccad4d03,790003898-1,Ban Phan Don,,2016-01-19,89.14,,Archived,,
justo maecenas,nulla tellus in,ligula in lacus,Izio,4.93637704926415E+018,b695a1c5-c4af-493e-8851-63aa41032c01,524481245-9,Munggang,,2015-11-21,895.08,,Undeployable,29,Feednation
nulla pede ullamcorper augue,rutrum rutrum neque,enim in tempor turpis,Jabberbean,3566203942437351,,743088297-8,Bromma,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2016-02-29,833.54,,Archived,,
amet sem fusce,id,hendrerit at vulputate vitae,Gabtype,5407504596351030,c6144e5d-0b64-44d1-bba5-0a7b0e3e78dc,998959453-8,Tawau,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2015-08-25,,,Lost,,
orci vehicula,odio,eleifend luctus ultricies eu,Dazzlesphere,3544932891060288,9e1a7fdc-e410-4369-8203-f170e5e749b0,118824344-6,North Vancouver,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2016-02-29,663.19,,Undeployable,30,Twiyo
eu mi nulla ac,bibendum,ridiculus mus vivamus vestibulum,Skiptube,5602256523069580,659b0fc6-7107-4be4-8478-836366c4e23c,867984064-5,Hekou,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2016-05-06,,,,16,Ntags
a nibh,amet cursus id,curabitur in,Ooba,3536282915752555,f2cfaa82-b40f-4119-81c0-f5a8eeb06a38,222270511-8,Angeghakot’,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2015-06-08,651.3,,Pending Diagnostics,,
nisi eu orci mauris,hendrerit at vulputate,tortor duis mattis egestas metus,Jazzy,374622354851106,638497c0-4690-4872-b241-c15545806c8a,255225792-5,Duraykīsh,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2015-10-08,141.33,,Ready to Deploy,,
posuere cubilia curae mauris,quis turpis,in magna bibendum imperdiet nullam,Demizz,6.75938318513741E+018,b3c36765-d42a-4c83-bc62-300bb07fde98,361952926-4,Opatov,,2015-07-08,599.89,,Ready to Deploy,,
ut at,dapibus,ultrices aliquet,Wikibox,3547109377511525,,100773046-3,Atbasar,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2016-01-31,16.78,,Pending Diagnostics,20,Gigazoom
sed sagittis nam,lacinia eget tincidunt,porta volutpat erat,Wikibox,36953984058725,,703472241-2,Oslo,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,2015-06-28,573.06,Solarbreeze,Ready to Deploy,31,Buzzshare
tristique est et tempus,sociis natoque penatibus,auctor sed,Dynazzy,6389179112138656,54316132-26aa-4bf0-9e1b-6dcd2afda6ce,715414385-1,Saidpur,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2015-09-15,,,Lost,,
enim leo rhoncus,eros,dolor sit,Blogpad,3550068835419040,7d1c8d21-7a56-4c23-8649-061ddd708893,764086552-2,Momanalu,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2015-08-29,,,Pending Diagnostics,,
in faucibus,vitae ipsum aliquam,quam sollicitudin vitae consectetuer eget,Yakitri,5602225854973231,7bd1251a-ea8c-46dc-93d2-93f62d90a969,509026038-9,Rennes,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,2016-04-18,551.23,,Pending Diagnostics,,
morbi odio odio,sociis natoque,in sapien,Jatri,6706279710914494,ea523cc9-6428-4a4b-aed9-c470703891f1,900328219-6,Quevedo,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2015-09-07,291.69,Otcom,Undeployable,25,Jazzy
donec posuere metus,ut,tellus nisi,Kazio,3545354504978666,3772945a-1148-4051-8443-0ee8a92c5b17,328780394-8,Grujugan,,2015-09-19,488.83,,Pending Diagnostics,,
amet erat nulla tempus,sit amet,aenean auctor,Shufflebeat,3533111501358076,db9552e3-13f9-40c4-9c2c-8bff3c4c0a89,611870818-5,Oepula,,2015-06-13,,Vagram,Ready to Deploy,,
odio consequat varius,pede justo lacinia,posuere cubilia curae nulla,Rhybox,3567546926048357,d6289b7b-4ed2-4ec8-a486-4cdd3591da21,277787832-3,Kotabaru,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,2015-07-03,157.31,,Undeployable,25,Bluejam
